43864 usec, 9300 usec
4560 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
1660 usec, 640 usec
1660 usec, 620 usec
1680 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
1660 usec, 620 usec
1680 usec, 620 usec
1680 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1660 usec, 640 usec
1660 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
1660 usec, 620 usec
1680 usec, 620 usec
540 usec, 620 usec
1680 usec, 620 usec
40940 usec, 9300 usec
2300 usec, 620 usec
