59920 usec, 9300 usec
4580 usec, 640 usec
520 usec, 620 usec
540 usec, 600 usec
560 usec, 600 usec
1680 usec, 640 usec
1660 usec, 620 usec
1660 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
1700 usec, 600 usec
1680 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
1660 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
540 usec, 620 usec
540 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
40960 usec, 9300 usec
2300 usec, 600 usec
