50452 usec, 9320 usec
4540 usec, 660 usec
520 usec, 640 usec
520 usec, 640 usec
520 usec, 620 usec
1660 usec, 640 usec
1660 usec, 640 usec
1640 usec, 660 usec
500 usec, 660 usec
500 usec, 640 usec
1660 usec, 640 usec
1660 usec, 640 usec
1640 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
1660 usec, 640 usec
1660 usec, 640 usec
1640 usec, 640 usec
1660 usec, 640 usec
1640 usec, 660 usec
1640 usec, 640 usec
1660 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
500 usec, 660 usec
500 usec, 660 usec
500 usec, 660 usec
500 usec, 660 usec
1640 usec, 640 usec
1660 usec, 640 usec
1640 usec, 640 usec
40940 usec, 9320 usec
2280 usec, 640 usec
32984 usec, 9340 usec
2260 usec, 640 usec
