32128 usec, 9260 usec
4620 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
560 usec, 600 usec
540 usec, 620 usec
1680 usec, 620 usec
1680 usec, 600 usec
1680 usec, 560 usec
620 usec, 600 usec
560 usec, 600 usec
540 usec, 620 usec
1680 usec, 620 usec
1680 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1680 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 600 usec
1680 usec, 620 usec
40960 usec, 9240 usec
2360 usec, 620 usec
