10888 usec, 9280 usec
4580 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1680 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 600 usec
1680 usec, 600 usec
560 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
1680 usec, 620 usec
1680 usec, 620 usec
1660 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 620 usec
1680 usec, 600 usec
1680 usec, 620 usec
1680 usec, 620 usec
1680 usec, 600 usec
40980 usec, 9220 usec
2360 usec, 620 usec
33024 usec, 9260 usec
2340 usec, 620 usec
