4272 usec, 9300 usec
4560 usec, 640 usec
520 usec, 620 usec
540 usec, 620 usec
520 usec, 620 usec
1680 usec, 640 usec
1660 usec, 640 usec
1660 usec, 640 usec
520 usec, 620 usec
540 usec, 640 usec
1640 usec, 640 usec
1660 usec, 640 usec
1640 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
1680 usec, 620 usec
1640 usec, 660 usec
500 usec, 660 usec
1640 usec, 640 usec
1660 usec, 640 usec
1660 usec, 640 usec
520 usec, 640 usec
500 usec, 660 usec
500 usec, 660 usec
500 usec, 660 usec
1640 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
520 usec, 640 usec
1660 usec, 640 usec
1640 usec, 640 usec
1660 usec, 640 usec
1640 usec, 640 usec
40940 usec, 9320 usec
2280 usec, 640 usec
33004 usec, 9320 usec
2260 usec, 640 usec
